Year,CAPEX,Renewal Cost,OPEX,Total Emissions
2025,81088365000.0,0.0,574303138420.0,7242482.48097
2026,0.0,1363939337100.0,574303138420.0,7263115.94745
2027,0.0,0.0,574303138420.0,7263115.94745
2028,0.0,0.0,574303138420.0,7263115.94745
2029,0.0,0.0,574303138420.0,7263115.94745
2030,0.0,0.0,574303138420.0,7263115.94745
2031,0.0,0.0,574303138420.0,7263115.94745
2032,0.0,0.0,574303138420.0,7263115.94745
2033,0.0,0.0,574303138420.0,7263115.94745
2034,0.0,0.0,574303138420.0,7263115.94745
2035,0.0,0.0,574303138420.0,7263115.94745
2036,0.0,0.0,574303138420.0,7263115.94745
2037,0.0,0.0,574303138420.0,7263115.94745
2038,0.0,0.0,574303138420.0,7263115.94745
2039,0.0,0.0,574303138420.0,7263115.94745
2040,0.0,0.0,574303138420.0,7263115.94745
2041,0.0,0.0,574303138420.0,7263115.94745
2042,0.0,0.0,574303138420.0,7263115.94745
2043,0.0,0.0,574303138420.0,7263115.94745
2044,0.0,0.0,574303138420.0,7263115.94745
2045,0.0,0.0,574303138420.0,7263115.94745
2046,3562900000000.0,0.0,1148606276840.0,0.0
2047,0.0,0.0,1148606276840.0,0.0
2048,0.0,0.0,1148606276840.0,0.0
2049,0.0,0.0,1148606276840.0,0.0
2050,0.0,0.0,1148606276840.0,0.0
